PDB,Tem Mutação,Mutações,Mutação no pocket,Missing residues,Posição residuos faltantes,Missing data | Pocket,Número de cadeias: protein.pdb,Global Stoichiometry,Small Molecules,Metals | Pocket,Membrane Protein
1a30,Yes,7-33-63: Chain A and B - Erro na seq,Não sei ,Não,Empty,Não,2,,,,
1bcu,No,Empty,Empty,Sim,15 | 147-148-149 | 218,Sim,1,,,,
1bzc,Yes,72,Não sei ,Não,,Não,1,,,,
1c5z,No,Empty,Empty,Sim,218,Não,1,,,,
1e66,No,Empty,Empty,Não,Empty,Não,2,,,,
1eby,No,Empty,Empty,Não,Empty,Não,2,,,,
1g2k,No,Empty,Empty,Não,Empty,Não,2,,,,
1gpk,No,Empty,Empty,Sim, 0-1-2-3 | 86-87-88,Não,1,,,,
1gpn,No,Empty,Empty,Sim,488-489-490,Não,1,,,,
1h22,No,Empty,Empty,Sim,486-487-488-489,Não,1,Homo 2-mer ,,,
1h23,No,Empty,Empty,Sim,486-487-488-489,Não,1,Homo 2-mer - A2 ,,,
1k1i,No,Empty,Empty,Sim,26 | 35-36 | 68 | 205-206-208 | 218,Sim,1, Monomer - A1 ,CA-1,Não,
1lpg,No,Empty,Empty,Sim,146 | 218,Sim,1, Monomer - A1 ,CA-1,Não,
1mq6,No,Empty,Empty,Sim,148 | 219,Sim,2,Hetero 2-mer - A1B1,CA-1,Não,
1nc1,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1nc3,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1nvq,No,Empty,Empty,Sim,44-45-46-47-48-49,Não,1,Hetero 2-mer - A1B1,,,
1o0h,No,Empty,Empty,Não,Empty,Não,1, Monomer - A1 ,,,
1o3f,No,Empty,Empty,Sim,34-35-36 | 67-68 | 126,Sim,1,Monomer - A,,,
1o5b,Yes,145-190,Não sei ,Não,Empty,Não,1, Hetero 2-mer - A1B1,,,
1owh,No ,Empty,Empty,Sim,24-26 | 33-35 | 40-42 | 45-47 | 64-66 | 75-77 | 165,Não,1,Monomer - A1,,,
1oyt,Yes,1,Não sei ,Sim,148-149 | 218,Sim,2,Hetero 3-mer - A1B1C1,CA -1,Não,
1p1n,Yes,138,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1p1q,Yes,138,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2 ,3 ZN,Não,
1ps3,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,1 ZN - Pocket,Sim,
1pxn,No,Empty,Empty,Sim,37-38-40,Não,1, Monomer - A1 ,,,
1q8t,Yes,10-197-338,Não sei ,Não,Empty,Não,2,Hetero 2-mer - A1B1,SEP-1 - TPO-1,,
1q8u,Yes,10-197-338,Não sei ,Não,Empty,Não,2,Hetero 2-mer - A1B1 ,SEP 1 | SEP - 2 ,,
1qf1,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,CA - (2-3-4-5) | ZN-1,Sim,
1qkt,Yes,78-114-227,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1r5y,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1s38,No,Empty,Empty,Sim,112-113-114| 126-127-128-129-130,Não,1,Homo 2-mer - A2 ,ZN-1,Não,
1sqa,No,Empty,Empty,Sim,24-26|49-40| 64-66|75-77,Não,1,Monomer - A1,,,
1syi,Yes,190,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1u1b,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
1uto,No,Empty,Empty,Sim,36-36|68|26-131|205-206-207-208-209,Não *,1,Monomer - A1,CA-1,Não,
1vso,No,Empty,Empty,Sim, 65-66-67-68-69 | 165-166 ,Não,2,Homo 2-mer - A2 ,,,
1w4o,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
1y6r,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
1yc1,No,Empty,Empty,Não,Empty,Não,1, Monomer - A1 ,,,
1ydr,Yes,197-338,Não sei ,Não,Empty,Não,2 ou nsd mol?, Hetero 2-mer - A1B1 ,TPO-197|SEP-338|*,,
1ydt,Yes,197-338,Não sei ,Não,Empty,Não,,Hetero 2-mer - A1B1 ,,,
1z6e,No,Empty,Empty,Sim,148|219,Sim,2,Hetero 2-mer - A1B1,,,
1z95,Yes,70,Não sei ,Sim,844-845-846-847-848-849-850-851,Não,1,Monomer - A1,,,
1z9g,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,CA-1|CA-2|CA-3|CA-4,Sim,
2al5,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
2br1,No,Empty,Empty,Sim,45-46-47,Não,1,Monomer - A1,,,
2brb,No,Empty,Empty,Sim,45-46-47,Não,1,Monomer - A1,,,
2c3i,Yes,250,Não sei ,Sim,80-81-82,Não,1,Hetero 2-mer - A1B1,,,
2cbv,No,Empty,Empty,Sim,233,Não,1,Monomer - A1,,,
2cet,No,Empty,Empty,Sim,232-233-234-235-236 | 305-306-307,Não,1,Monomer - A1 ,,,
2fvd,No,Empty,Empty,Sim,36:49|150:151,Não,1,Monomer - A1,,,
2fxs,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2hb1,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
2iwx,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2j78,No,Empty,Empty,Sim,307,Não,1,Monomer - A1 ,CA-1:CA-2,Não,
2j7h,No,Empty,Empty,Sim,232-233-234-235|307,Não,1,Monomer - A1,CA-1,Não,
2p15,Yes,241,Não sei ,Sim,332-333-334|432-433-434,Não,2,Hetero 4-mer - A2B2,,,
2p4y,No,Empty,Empty,Sim,(238:244 | 255:278|454:465) Chain 1:,Não,2,Homo 2-mer - A2 ,,,
2pog,Yes,78-114-227,Não sei ,Sim,(331:340 | 462-463) (530-533 | 332:339),Não,2,Homo 2-mer - A2 ,,,
2qbp,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2qbq,No,Empty,Empty,Não,Empty,Não,1, Monomer - A1 ,,,
2qbr,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2qe4,Yes,Empty,Empty,Sim,(331:340 | 461:471) (331:340 | 462:472) ,Não,2,Homo 2-mer - A2 ,,,
2qnq,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
2r9w,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,"UNK, (R blue)",,
2v00,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2v7a,Yes,89,Não sei ,Não,Empty,Não,1,Monomer - A1,"MG-1, PTR-393",Sim,
2vkm,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
2vvn,No,Empty,Empty,Sim,595:604 | 619:630 | 649:678 | 695:707,Não,1,Monomer - A1,,,
2vw5,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2w4x,No,Empty,Empty,Sim,47-48-49-50-51-52-53,Não,1, Monomer - A1 ,,,
2w66,No,Empty,Empty,Sim,596:603 | 619:630 | 649: 678| 695:708,Não,1,Monomer - A1 ,CA-1,Não,
2wbg,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
2wca,No,Empty,Empty,Sim,47-48-49-50-52-52-53,Não,1,Monomer - A1 ,CA-1,Não,
2weg,No,Empty,Empty,Sim,26,Não,1,Monomer - A1,ZN,Sim,
2wer,Yes,35,Não sei ,Não,Empty,Não,2,Homo 2-mer - A2,,,
2wn9,No,Empty,Empty,Sim,"D,F (18:20) | F(188:191)| ",Não,5,Homo 5-mer - A5 ,,,
2wnc,No,Empty,Empty,Não,Empty,Não,5,Homo 5-mer - A5 ,,,
2wtv,Yes,97-99-102,Não sei ,Sim,290,Não,1,Monomer - A1,TPO -287-288,Não,
2wvt,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
2x00,No,Empty,Empty,Não,Empty,Não,5,Homo 5-mer - A5 ,,,
2xb8,No,Empty,Empty,Não,Empty,Não,12,Homo 12-mer - A12 ,,,
2xbv,Yes,138,Não sei ,Sim,91|101:106|146|218,Não *,2,Hetero 2-mer - A1B1,CA-1,Não,
2xdl,No,Empty,Empty,Não,Empty,Não,2,Homo 2-mer - A2 ,,,
2xii,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
2xj7,No,Empty,Empty,Sim,(458| 596:605|619:630|647:679)| (596:604|618:631|646:682|693:708),Não,2,Homo 2-mer - A2,,,
2xnb,No,Empty,Empty,Sim,41-42,Não,1,Monomer - A1,,,
2xys,No,Empty,Empty,Não,Empty,Não,5,Homo 5-mer - A5 ,,,
2y5h,Yes,138,Não sei ,Não,Empty,Não,2,Hetero 2-mer - A1B1,,,
2yfe,No,Empty,Empty,Sim,267:33:00,Sim,1,Monomer - A1,,,
2yge,Yes,44-98,Não sei ,Nâo,Empty,Não,1,Monomer - A1,,,
2yki,No,Empty,Empty,Nâo,Empty,Não,1,Monomer - A1,,,
2ymd,Yes,53,Não sei ,Não,Empty,Não,10,Homo 10-mer - A10 ,,,
2zb1,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
2zcq,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,"MG-1,MG-2",Sim,
2zcr,No,Empty,Empty,Sim,53-54:55,Não,1,Monomer - A1 ,MG-1,Sim,
2zda,No,Empty,Empty,Sim,148:149 | 218,Não *,2,Hetero 3-mer - A1B1C1,,,
2zy1,No,Empty,Empty,Sim,52:56:00,Não,1,Monomer - A1 ,,,
3acw,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3ag9,No,Empty,Empty,Não,316-317:334,Sim,1,Monomer - A1,SEP-TPO,,
3ao4,Yes,7-74-75-78-82-90-136,Não sei ,Sim,139:150 | 139:151 | 189:193 | ,Não,2,Homo 2-mer - A2,,,
3arp,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
3arq,No,Empty,Empty,Não,Empty,Não,1,Monomer - A,,,
3aru,Yes,254,Não sei ,Não,Empty,Não,1,Monomer - A1,,,
3arv,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3ary,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3b1m,No,Empty,Empty,Sim,263-264:274,Sim,1,Hetero 2-mer - A1B1 *,,,
3b27,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3b5r,No,Empty,Empty,Não,Empty,Não,1,Monomer - A,,,
3b65,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3b68,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
3bgz,No,Empty,Empty,Sim,80:84,Não,1,Monomer - A1,SEP-261,,
3bv9,Yes,73,Não sei ,Sim,218,Sim,2, Hetero 2-mer - A1B1 ,,,
3cj4,No,Empty,Empty,Sim,149:153,Não,1,Monomer - A1,,,
3coy,Yes,3-78,Não sei ,Sim,Chain A: (75:80 | 261:262) Chain B: (73:80),Sim,2,Homo 2-mer - A2 ,,,
3coz,Yes,3-78,Não sei ,Sim,Chain B: (73:81),Não,2,Homo 2-mer - A2,,,
3d4z,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,ZN-1,Sim,
3d6q,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
3dd0,No,Empty,Empty,Sim,126,Não,1,Monomer - A1,ZN-1,Sim,
3dx1,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,ZN-1,Sim,
3dx2,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,ZN-1,Sim,
3dxg,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3e5a,No,Empty,Empty,Sim,22:25,Não,2,Hetero 2-mer - A1B1,TPO-288,,
3e92,No,Empty,Empty,Sim,173,Não * ,1,Monomer - A1,CSO-162,,
3e93,No,Empty,Empty,Sim,172-174,Não * ,1,Monomer - A1,CSO-162,,
3ebp,No,Empty,Empty,Sim,Chain A:(255:260|215:223) Chain B: (255:260|215:223),Não,2,Homo 2-mer - A2 ,LLP-680,,
3ehy,Yes,66,Não sei ,Não,Empty,Não,1,Monomer - A1 ,ZN-1|ZN-2|CA-1|CA-2|CA-3|,Sim,
3ejr,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,ZN-1,Sim,
3f3a,No,Empty,Empty,Sim,Chain A (132:134) | Chain B (132:134),Não,2, Homo 2-mer - A2,,,Yes
3f3c,No,Empty,Empty,Sim,Chain A  (133:134),Não,2,Homo 2-mer - A2,,,Yes
3f3d,No,Empty,Empty,Sim,Chain A (133:134) | Chain B (133:134),Não,2,Homo 2-mer - A2 ,,,Yes
3f3e,No,Empty,Empty,Sim,Chain A (133:134) | Chain B (133:134),Não,2,Homo 2-mer - A2 ,,,Yes
3fcq,Yes,37-119,Não sei ,Não,Empty,Não,1,Monomer - A1,"ZN, CA, CA, CA, CA",Sim,
3fur,No,Empty,Empty,Sim,259:274,Sim,1,Hetero 2-mer - A1B1 *,,,
3fv1,No,Empty,Empty,Sim,530:599 | 602:551,Não,1,Monomer - A1,,,
3fv2,No,Empty,Empty,Sim,530:599 | 602:551,Não,1,Monomer - A1 ,,,
3g0w,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1,,,
3g2n,No,Empty,Empty,Sim,318:323 | 255:257,Não,1,Monomer - A1 ,,,
3g2z,No,Empty,Empty,Sim,58-239-253,Não *,1,Monomer - A1,,,
3g31,No,Empty,Empty,Sim,58-239-253,Não,1,Monomer - A1,,,
3gbb,No,Empty,Empty,Não,Empty,Não,1,Monomer - A1 ,,,
3gc5,No,Empty,Empty,Sim,Chain A (113 | 127:130) Chain B (113 | 127:130) ,Não,2,Homo 2-mer - A2 ,"ZN-1, ZN-2",Não,
3ge7,No,Empty,Empty,Sim,Chain A (110:114 | 125:133) Chain B (110:114 | 125:133),Não *,2,Homo 2-mer - A2,"ZN-1, ZN-2",Não,
3gnw,No,Empty,Empty,Sim,150:152,Não,1,Monomer - A1 ,,,
