PDB code,Protein name
2r58,POLYCOMB PROTEIN SCM
3c2f,NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE
3g2y,BETA-LACTAMASE CTX-M-9A
3pce,"PROTOCATECHUATE 3,4-DIOXYGENASE"
4qsu,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
4qsv,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
4u54,IMPORTIN SUBUNIT ALPHA-1
3ao4,HIV-1 INTEGRASE
4cs9,M2-1
2w8w,SERINE PALMITOYLTRANSFERASE
3gv9,BETA-LACTAMASE
6r9u,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F
6abx,CITRATE SYNTHASE
4q90,CARBONIC ANHYDRASE 2
5cs3,HEPATOCYTE GROWTH FACTOR
4tim,TRIOSEPHOSPHATE ISOMERASE
5fe6,HISTONE ACETYLTRANSFERASE KAT2B
6ghj,DI-OR TRIPEPTIDE:H+ SYMPORTER
3gqz,BETA-LACTAMASE
4y3j,ENDOTHIAPEPSIN
5oxk,DI-OR TRIPEPTIDE:H+ SYMPORTER
5z5f,BETA-XYLOSIDASE
4ahr,HIV-1 INTEGRASE
4ahs,HIV-1 INTEGRASE
4mre,CD44 ANTIGEN
1x8d,HYPOTHETICAL PROTEIN YIIL
4g0z,PROTEIN ARGONAUTE 1
1m0n,"2,2-DIALKYLGLYCINE DECARBOXYLASE"
2aac,ARAC
4aci,HTH-TYPE TRANSCRIPTIONAL REPRESSOR ACNR
4ury,GTPASE HRAS
1ajp,PENICILLIN AMIDOHYDROLASE
3ao5,HIV-1 INTEGRASE
3i3b,BETA-GALACTOSIDASE
5m9w,THERMOLYSIN
1ew8,ALKALINE PHOSPHATASE
4np2,CD44 ANTIGEN
1uto,TRYPSIN BETA
4ahu,HIV-1 INTEGRASE
1ps3,ALPHA-MANNOSIDASE II
3ip8,ARYLMALONATE DECARBOXYLASE
4ddk,PANTOTHENATE SYNTHETASE
3dyo,BETA-GALACTOSIDASE
3kgq,CARBOXYPEPTIDASE A
3mhw,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
3pcg,"PROTOCATECHUATE 3,4-DIOXYGENASE"
3rv4,BIOTIN CARBOXYLASE
4g0y,PROTEIN ARGONAUTE 1
4jsz,CARBONIC ANHYDRASE 2
1m0o,"2,2-DIALKYLGLYCINE DECARBOXYLASE"
4y0a,SHIKIMATE KINASE
5mz8,ALDEHYDE DEHYDROGENASE 21
5aol,CELLULAR TUMOR ANTIGEN P53
4iie,BETA-GLUCOSIDASE 1
3gtc,BETA-LACTAMASE
4y3y,ENDOTHIAPEPSIN
3g2z,BETA-LACTAMASE CTX-M-9A
5fsc,TECTONIN 2
3t0d,BETA-GALACTOSIDASE
6rnt,RIBONUCLEASE T1
3f6e,BENZOYLFORMATE DECARBOXYLASE
6md8,BETA-LACTAMASE CTX-M-14
1f73,N-ACETYL-NEURAMINATE LYASE
1nwl,PROTEIN-TYROSINE PHOSPHATASE 1B
4u5s,IMPORTIN SUBUNIT ALPHA-1
4u5o,IMPORTIN SUBUNIT ALPHA-1
6mli,LYSINE/ARGININE/ORNITHINE-BINDING PERIPLASMIC PROTEIN
1oba,LYSOZYME
3mjl,ARGINASE-1
4ddm,PANTOTHENATE SYNTHETASE
4x8u,COAGULATION FACTOR VIIA
1utl,TRYPSIN I
4y4j,ENDOTHIAPEPSIN
6fhq,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
1gyx,HYPOTHETICAL PROTEIN YDCE
4u5n,IMPORTIN SUBUNIT ALPHA-1
5mn1,TRYPSIN
4efk,PANTOTHENATE SYNTHETASE
