,pdb,poserank,similarity,RMSD,rmsd_weight,similarity_weight,weight,label
0,1a30,1,6.557377049180328,5.4,0.0,0.0,0.0,0
1,1a30,2,1.639344262295082,9.04,0.0,0.0,0.0,0
2,1a30,3,0.0,6.84,0.0,0.0,0.0,0
3,1a30,4,5.737704918032787,7.84,0.0,0.0,0.0,0
4,1a30,5,6.557377049180328,6.18,0.0,0.0,0.0,0
5,1a30,6,31.967213114754102,4.11,0.0,0.0,0.0,0
6,1a30,7,8.19672131147541,8.16,0.0,0.0,0.0,0
7,1a30,8,45.90163934426229,2.8,7.0,0.0,0.35,0
8,1a30,9,0.8196721311475411,9.83,0.0,0.0,0.0,0
9,1a30,10,0.0,7.69,0.0,0.0,0.0,0
10,1bcu,1,92.72727272727272,0.48,10.0,10.0,1.0,1
11,1bcu,2,0.0,2.66,7.0,0.0,0.35,0
12,1bcu,3,5.454545454545454,0.4,10.0,0.0,0.5,0
13,1bcu,4,34.54545454545455,2.67,7.0,0.0,0.35,0
14,1bcu,5,1.818181818181818,1.3,10.0,0.0,0.5,0
15,1bcu,6,0.0,3.08,0.0,0.0,0.0,0
16,1bcu,7,29.09090909090909,2.8,7.0,0.0,0.35,0
17,1bcu,8,54.54545454545454,2.01,7.0,0.0,0.35,0
18,1bcu,9,1.818181818181818,3.73,0.0,0.0,0.0,0
19,1bcu,10,0.0,3.45,0.0,0.0,0.0,0
20,1bzc,1,66.94214876033058,0.62,10.0,0.0,0.5,0
21,1bzc,2,88.42975206611571,0.9,10.0,10.0,1.0,1
22,1bzc,3,63.63636363636363,1.3,10.0,0.0,0.5,0
23,1bzc,4,62.8099173553719,2.0,7.0,0.0,0.35,0
24,1bzc,5,55.371900826446286,2.98,7.0,0.0,0.35,0
25,1bzc,6,55.371900826446286,2.69,7.0,0.0,0.35,0
26,1bzc,7,16.528925619834713,3.16,0.0,0.0,0.0,0
27,1bzc,8,76.85950413223141,3.87,0.0,7.0,0.35,0
28,1bzc,9,33.057851239669425,2.23,7.0,0.0,0.35,0
29,1bzc,10,0.0,2.76,7.0,0.0,0.35,0
30,1c5z,1,60.75949367088608,0.37,10.0,0.0,0.5,0
