pdb,poserank,RMSD
3oy8,1,5.27
3oy8,2,6.33
3oy8,3,6.42
3oy8,4,4.99
3oy8,5,8.0
3oy8,6,9.21
3oy8,7,4.46
3oy8,8,6.44
3oy8,9,6.46
3oy8,10,2.06
3ocz,1,5.36
3ocz,2,6.98
3ocz,3,1.71
3ocz,4,6.6
3ocz,5,6.75
3ocz,6,6.85
3ocz,7,6.67
3ocz,8,6.65
3ocz,9,6.93
3ocz,10,6.6
3p8n,1,0.58
3p8n,2,1.38
3p8n,3,3.88
3p8n,4,3.52
3p8n,5,6.27
3p8n,6,2.77
3p8n,7,4.23
3p8n,8,4.79
3p8n,9,9.47
3p8n,10,9.84
1uz8,1,0.7
1uz8,2,2.22
1uz8,3,5.73
1uz8,4,5.46
1uz8,5,5.98
1uz8,6,4.5
1uz8,7,6.41
1uz8,8,6.38
1uz8,9,6.16
1uz8,10,5.45
4g0p,1,6.79
4g0p,2,10.11
4g0p,3,5.76
4g0p,4,7.57
4g0p,5,6.78
4g0p,6,1.4
4g0p,7,9.19
4g0p,8,7.79
4g0p,9,7.16
4g0p,10,6.78
3gk1,1,4.86
3gk1,2,3.97
3gk1,3,2.94
3gk1,4,7.33
3gk1,5,8.26
3gk1,6,2.72
3gk1,7,8.7
3gk1,8,4.39
3gk1,9,5.99
3gk1,10,9.83
1w5y,1,0.57
1w5y,2,0.27
1w5y,3,4.37
1w5y,4,4.41
1w5y,5,2.26
1w5y,6,2.51
1w5y,7,4.39
1w5y,8,5.77
1w5y,9,4.55
1w5y,10,4.32
2j7g,1,0.88
2j7g,2,8.25
2j7g,3,5.94
2j7g,4,7.12
2j7g,5,7.18
2j7g,6,7.13
2j7g,7,5.99
2j7g,8,4.24
2j7g,9,3.46
2j7g,10,7.12
1m2p,1,0.39
1m2p,2,3.03
1m2p,3,3.8
1m2p,4,4.82
1m2p,5,5.58
1m2p,6,3.76
1m2p,7,6.29
1m2p,8,3.61
1m2p,9,5.07
1m2p,10,6.33
6hai,1,1.04
6hai,2,1.8
6hai,3,2.12
6hai,4,21.33
6hai,5,21.18
1xff,1,0.93
1xff,2,0.92
1xff,3,4.44
1xff,4,4.27
1xff,5,4.44
1xff,6,2.27
1xff,7,2.85
1xff,8,3.57
1xff,9,5.38
6cdo,1,4.13
6cdo,2,4.76
6cdo,3,5.06
6cdo,4,5.14
6cdo,5,5.58
6cdo,6,4.18
6cdo,7,5.5
6cdo,8,6.18
6cdo,9,6.35
6cdo,10,4.12
4h3f,1,0.27
4h3f,2,1.79
4h3f,3,2.42
4h3f,4,3.1
4h3f,5,3.13
4h3f,6,4.28
4h3f,7,2.81
4h3f,8,9.84
4h3f,9,9.68
4h3f,10,9.69
2ccb,3,8.3
3v51,1,0.27
3v51,2,2.48
3v51,3,1.56
3v51,4,1.86
3v51,5,2.72
3v51,6,3.65
3v51,7,3.88
3v51,8,4.68
3v51,9,6.02
3v51,10,2.49
1g7q,1,2.22
1g7q,2,14.05
1g7q,3,4.15
1g7q,4,5.81
1g7q,5,0.94
1g7q,6,13.0
1g7q,7,4.87
1g7q,8,13.55
1g7q,9,2.96
1g7q,10,7.01
4z93,1,1.55
4z93,2,6.05
4z93,3,2.72
4z93,4,6.43
4z93,5,6.41
4z93,6,6.93
4z93,7,5.97
4z93,8,4.84
4z93,9,6.37
4z93,10,5.73
3i51,1,0.88
3i51,2,0.34
3i51,3,3.57
3i51,4,3.57
3i51,5,3.17
3i51,6,3.19
3i51,7,10.74
3i51,8,2.92
3i51,9,10.13
3i51,10,9.32
3f48,1,0.25
3f48,2,0.25
3f48,3,2.16
3f48,4,2.78
3f48,5,2.78
3f48,6,3.78
3f48,7,3.05
3f48,8,7.54
3f48,9,7.76
3f48,10,7.73
5uv2,1,5.93
5uv2,2,6.5
5uv2,3,5.26
5uv2,5,6.66
5uv2,6,5.97
5uv2,7,6.96
5uv2,8,6.24
5uv2,9,6.13
5uv2,10,3.1
5d21,1,0.65
5d21,2,0.65
5d21,3,6.19
5d21,4,5.4
5d21,5,5.53
5d21,6,5.58
5d21,7,6.06
5d21,8,1.81
5d21,9,6.01
5d21,10,1.91
4lm1,1,2.88
4lm1,2,4.35
4lm1,3,4.33
4lm1,4,0.88
4lm1,5,3.03
4lm1,6,3.2
4lm1,7,1.54
4lm1,8,3.67
4lm1,9,3.36
4lm1,10,4.75
2qbq,1,0.38
2qbq,2,1.34
2qbq,3,5.99
2qbq,4,2.23
2qbq,5,3.53
2qbq,6,2.63
2qbq,7,5.19
2qbq,8,2.68
2qbq,9,4.03
2qbq,10,9.37
3djo,1,1.69
3djo,2,4.53
3djo,3,6.61
3djo,4,1.14
3djo,5,5.41
3djo,6,6.33
3djo,7,4.47
3djo,8,4.9
3djo,9,4.95
3djo,10,5.02
2buv,1,0.4
2buv,2,2.28
2buv,3,1.93
2buv,4,4.31
2buv,5,4.53
2buv,6,3.42
2buv,7,2.14
2buv,8,4.79
2buv,9,4.42
2buv,10,3.27
2v58,1,0.29
2v58,2,0.38
2v58,3,6.31
2v58,4,6.31
2v58,5,6.62
2v58,6,6.63
2v58,7,6.34
2v58,8,6.34
2v58,9,3.35
2v58,10,3.12
5fe7,1,0.69
5fe7,2,5.08
5fe7,3,2.24
5fe7,4,4.16
5fe7,5,3.24
5fe7,6,2.32
5fe7,7,2.9
5fe7,8,4.95
5fe7,9,3.07
5fe7,10,2.71
3ewc,1,2.88
3ewc,2,0.61
3ewc,3,6.26
3ewc,4,2.28
3ewc,5,6.02
3ewc,6,3.55
4zv2,1,0.86
4zv2,2,2.46
4zv2,3,1.87
4zv2,4,3.29
4zv2,5,2.72
4zv2,6,4.4
4zv2,7,4.66
4zv2,8,4.83
4zv2,9,3.18
4zv2,10,4.45
6e5t,1,2.05
6e5t,2,0.8
6e5t,3,4.14
6e5t,4,3.96
6e5t,5,5.04
6e5t,6,4.67
6e5t,7,5.13
6e5t,8,3.55
6e5t,9,5.47
6e5t,10,3.26
3shc,1,0.33
3shc,2,2.57
3shc,3,2.8
3shc,4,3.5
3shc,5,3.26
3shc,6,3.85
3shc,7,5.2
3shc,8,7.36
3shc,9,4.42
5kly,1,0.79
5kly,2,9.52
5kly,3,4.92
5kly,4,9.16
5kly,5,9.65
5kly,6,10.95
5kly,7,10.68
5kly,8,10.61
5kly,9,11.52
5kly,10,10.09
5mo8,1,1.34
5mo8,2,2.0
5mo8,3,2.96
5mo8,4,12.37
5mo8,5,11.82
5mo8,6,3.2
5mo8,7,2.43
5mo8,8,13.01
5mo8,9,12.32
5mo8,10,9.95
1bnt,1,0.76
1bnt,2,3.73
1bnt,3,4.56
1bnt,4,7.67
1bnt,5,4.37
1bnt,6,4.35
1bnt,7,7.69
1bnt,8,3.7
1bnt,9,3.76
1bnt,10,7.71
4mo4,1,2.73
4mo4,2,2.59
4mo4,3,2.7
4mo4,4,3.27
4mo4,5,2.28
4mo4,6,2.31
4mo4,7,2.81
4mo4,8,2.04
4mo4,9,8.68
4mo4,10,3.64
4ef6,1,1.97
4ef6,2,0.42
4ef6,3,3.12
4ef6,4,2.17
4ef6,5,3.85
4ef6,6,5.77
4ef6,7,2.71
4ef6,8,6.39
4ef6,9,5.55
4ef6,10,6.12
6sge,1,0.4
6sge,2,2.1
6sge,3,3.48
5umx,1,4.97
5umx,2,2.06
5umx,5,2.0
5umx,6,5.66
5umx,7,6.35
5umx,8,6.87
5umx,10,7.08
3kmx,1,0.97
3kmx,2,1.59
3kmx,3,1.66
3kmx,4,0.77
3kmx,5,2.77
3kmx,6,5.9
3kmx,7,1.94
3kmx,8,2.96
3kmx,9,5.9
3kmx,10,1.72
6iez,1,3.29
6iez,2,0.81
6iez,3,4.41
6iez,4,5.78
6iez,5,1.99
6iez,6,9.14
6iez,7,9.22
6iez,8,9.33
6iez,9,4.39
6iez,10,8.59
5f2p,1,2.15
5f2p,2,0.24
5f2p,3,5.09
5f2p,4,1.0
5f2p,5,5.54
5f2p,6,3.01
5f2p,7,2.21
5f2p,8,3.1
5f2p,9,3.61
5f2p,10,4.98
6pg6,1,7.11
6pg6,2,0.73
6pg6,3,3.18
6pg6,4,6.51
6pg6,5,7.28
6pg6,6,6.18
6pg6,7,6.9
6pg6,8,6.99
6pg6,9,5.49
6pg6,10,6.46
4oeu,1,2.07
4oeu,2,2.19
4oeu,3,2.69
4oeu,4,2.78
4oeu,5,1.89
4oeu,6,1.92
4oeu,7,2.0
4oeu,8,4.86
4oeu,9,4.34
4oeu,10,4.37
3tif,1,0.41
3tif,2,2.01
3tif,3,4.49
3tif,4,3.96
3tif,5,5.2
3tif,6,5.53
3tif,7,3.88
3tif,8,5.59
3tif,9,3.71
3tif,10,7.09
4a4q,1,1.11
4a4q,3,3.86
4a4q,4,3.97
4a4q,5,8.02
4a4q,6,11.43
4a4q,7,11.13
4a4q,8,2.27
4a4q,9,4.5
4a4q,10,11.2
1qk4,1,0.49
1qk4,2,7.31
1qk4,3,7.06
1qk4,4,6.91
1qk4,5,5.28
1qk4,6,1.77
1qk4,7,5.93
1qk4,8,5.45
1qk4,9,5.78
2wky,1,2.93
2wky,2,0.35
2wky,3,1.48
2wky,4,1.58
2wky,5,4.69
2wky,6,3.03
2wky,7,4.87
2wky,8,5.18
2wky,9,4.61
2wky,10,5.13
1n4h,1,0.98
1n4h,2,1.53
1n4h,3,2.22
1n4h,4,2.4
1n4h,5,1.79
1n4h,6,2.66
1n4h,7,2.27
1n4h,8,1.49
1n4h,9,9.49
1n4h,10,9.68
6dq4,1,5.76
6dq4,2,5.18
6dq4,3,6.45
6dq4,4,3.36
6dq4,5,4.12
6dq4,6,6.16
6dq4,7,5.93
6dq4,8,1.57
6dq4,9,6.42
6dq4,10,7.05
1ydr,1,0.51
1ydr,2,3.5
1ydr,3,3.76
1ydr,4,2.72
1ydr,5,3.88
1ydr,6,2.55
1ydr,7,1.65
1ydr,8,3.14
1ydr,9,10.12
1ydr,10,3.78
5fh7,1,0.67
5fh7,2,0.61
5fh7,3,3.05
5fh7,4,2.73
5fh7,5,3.12
5fh7,6,6.78
5fh7,7,2.31
5fh7,8,5.61
5fh7,9,6.09
5fh7,10,4.4
5nkh,1,5.62
5nkh,2,5.81
5nkh,3,1.24
5nkh,4,4.92
5nkh,5,2.48
5nkh,6,5.23
5nkh,7,2.78
5nkh,8,1.66
5nkh,9,5.85
5nkh,10,2.21
2wf5,1,2.87
2wf5,2,3.59
2wf5,3,0.64
2wf5,4,1.6
2wf5,5,3.03
2wf5,6,3.93
2wf5,7,5.12
2wf5,8,5.15
2wf5,9,5.45
2wf5,10,1.19
3mi2,1,0.77
3mi2,2,1.62
3mi2,3,6.69
3mi2,4,5.68
3mi2,5,3.62
3mi2,6,3.81
3mi2,7,6.71
3mi2,8,2.19
3uev,1,1.7
3uev,2,2.05
3uev,3,1.64
3uev,4,9.84
3uev,5,2.82
3uev,6,3.38
3uev,7,3.21
3uev,8,10.01
3uev,9,9.31
3uev,10,4.02
1vzq,1,0.27
1vzq,2,4.11
1vzq,3,2.07
1vzq,4,4.95
1vzq,5,7.66
1vzq,6,2.38
1vzq,7,4.1
1vzq,8,3.6
1vzq,9,8.35
